ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
TPR,2020-08-13,2020-08-13,13.554003715515137,0.1354504231268984,0.642255429993084,0.0092359725956118,0.0058971468216113,46124,0.0015520005731509,-0.0006539318898456,0.2570505644615788
TPR,2019-08-15,2019-08-15,16.363447189331055,0.3325265331951534,0.3596889858318279,0.0076839720224608,0.0065510787114569,40604,-0.0001491917618728,-0.0016127056222154,-0.19325958057983472
TPR,2018-08-16,2018-08-16,41.66819763183594,-0.0102994872869051,-0.1948764760962762,0.0078331637843336,0.0081637843336724,39320,0.0002070633944462,-0.0009826318895687,0.18094654898902562
TPR,2017-08-18,2018-01-02,36.1908073425293,0.0375608069101083,0.1704204073634769,0.0076261003898874,0.0091464162232412,40781,-0.0002545979612279,0.0005867653987989,
TPR,2016-08-19,2018-01-02,36.1908073425293,0.0375608069101083,0.1704204073634769,0.0078806983511154,0.0085596508244422,41240,-0.0001408962909686,0.0012001560575778,
TPR,2015-08-14,2018-01-02,36.1908073425293,0.0375608069101083,0.1704204073634769,0.008021594642084,0.0073594947668644,39269,-0.0004988883733769,0.0001368336676657,
ULTA,2026-03-26,2026-03-26,521.6400146484375,0.0345448163293959,-0.063626258548771,0.0108439541608653,0.0070954267966156,37348,0.0023725451662222,8.782744442924467e-05,-0.12903707848446422
ULTA,2025-03-27,2025-03-27,370.3399963378906,0.0434735817430487,0.2374304518693026,0.008471408994643,0.0070075993521863,32108,-2.450993001632505e-05,-0.0004566722744786,-0.1333830889642058
ULTA,2024-03-26,2024-03-26,514.3400268554688,-0.2067309786094536,-0.2458685215416686,0.0084959189246594,0.007464271626665,32957,-0.0004588440829058,-8.323710682488737e-06,0.07257727222462651
ULTA,2023-03-24,2023-03-24,513.97998046875,0.054243367333852,-0.0980776976927336,0.0089547630075652,0.0074725953373475,32385,-6.569951816427604e-05,0.0006921134388126,0.14028605649189618
ULTA,2022-03-25,2022-03-25,395.0700073242188,0.0310324221549562,0.0137190442445007,0.0090204625257295,0.0067804818985349,33036,3.196779897974601e-05,0.0005484588879884,0.008843696673765056
ULTA,2021-03-26,2021-03-26,303.0,0.0863036102194203,0.151353086968853,0.0089884947267497,0.0062320230105465,33376,0.0009694016479908,-0.0005141981509491,0.14203235527254665
ULTA,2020-03-27,2020-03-27,174.4499969482422,0.2535396761323059,0.0890800161465894,0.0080190930787589,0.0067462211614956,31425,-9.690610483812506e-06,-4.992768748995034e-05,-0.24867703634527816
ULTA,2019-04-02,2019-04-02,347.29998779296875,-0.0104232514956074,-0.0171897536151425,0.0080287836892427,0.0067961488489855,30017,0.0002682875370201,-0.0002824627040877,0.43991991940088604
ULTA,2018-04-03,2018-04-03,204.3800048828125,0.2154809288285539,0.1377825018619933,0.0077604961522226,0.0070786115530733,30797,0.0001511532024442,-0.00043147909736,
ULTA,2017-03-28,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0076093429497783,0.0075100906504334,30226,-1.0213912835706563e-05,0.0003249822054245,
ULTA,2016-03-30,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.007619556862614,0.0071851084450088,29923,-0.001785973854392,-0.0005314009108447,
ULTA,2015-04-01,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0094055307170061,0.0077165093558536,30195,-0.0005909740016237,-0.000252732168089,
ULTA,2014-04-02,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0099965047186298,0.0079692415239426,28610,0.0010904577803223,-0.0002487846208474,
ULTA,2013-04-03,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0089060469383074,0.0082180261447901,26162,-0.000416422414992,7.004111946533505e-05,
ULTA,2012-03-28,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0093224693532995,0.0081479850253248,27246,-0.0001319970670438,-2.4170611781157425e-06,
ULTA,2011-03-30,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0094544664203434,0.0081504020865029,27606,-8.194843067132508e-05,0.0006162949800073,
ULTA,2010-03-31,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0095364148510147,0.0075341071064956,29466,0.0001748009225913,3.790702358833983e-05,
ULTA,2009-04-02,2018-01-02,229.6300048828125,-0.0445499750415839,-0.101511113804529,0.0093616139284233,0.0074962000829072,28948,0.000878707167583,-0.0010595213282406,
CL,2026-02-23,2026-02-23,96.5002670288086,-0.1294541803945975,-0.0610388613401307,0.0113122680760148,0.0119419768357134,44465,0.0007445883033531,-0.0004239845789347,0.21922099776140191
CL,2025-02-13,2025-02-13,85.11074829101562,0.0337322766716303,0.0271375831911331,0.0105676797726616,0.0123659614146482,45043,1.75179603639445e-05,0.0003055514901606,-0.05152549108834492
CL,2024-02-15,2024-02-15,79.33147430419922,0.0562401815325537,0.1377079639762322,0.0105501618122977,0.0120604099244875,46350,0.0004427152609145,0.0005686826497628,0.09848736369040068
CL,2023-02-16,2023-02-16,67.35970306396484,0.0042599528302902,0.1020925315079186,0.0101074465513831,0.0114917272747247,45511,0.0006620819424033,-0.0017810244151449,-0.028714036566380052
CL,2022-02-17,2022-02-17,71.47286987304688,-0.0631710277823915,-0.0453497894768752,0.0094453646089798,0.0132727516898697,44678,-0.0004636301877614,-0.0017565814223423,0.015281748721812649
CL,2021-02-18,2021-02-18,69.5071029663086,-0.0475099158272903,0.0629891986496802,0.0099089947967412,0.0150293331122121,48239,-0.0001724595770044,0.0003675458379823,-0.08206975094120905
CL,2020-02-21,2020-02-21,65.8118667602539,-0.2071588493191529,-0.0732005787556429,0.0100814543737457,0.0146617872742297,42355,-0.0001854336354485,-0.0047227102356668,0.12590942739567712
CL,2019-02-21,2019-02-21,56.16667938232422,-0.0104950108525282,0.0791348920567698,0.0102668880091942,0.0193844975098965,39155,0.000295342167782,-0.0003823294737108,0.05880823636662469
HSY,2026-02-17,2026-02-17,217.72613525390625,-0.0304466356902075,-0.1193983418483556,0.0076164176112954,0.0096207380353205,44903,0.0004358521138008,-0.0008704931744145,0.2590926306577288
